,v1,v2
164,1,"bangbabes ur order way. u receive service msg 2 download ur content. u not, goto wap. bangb. tv ur mobile internet/service menu"
165,0,place ur points e cultures module already.
166,1,urgent! trying contact you. last weekends draw shows å£900 prize guaranteed. call 09061701939. claim code s89. valid 12hr
167,0,"hi frnd, best way avoid missunderstding wit beloved one's?"
168,0,great escape. fancy bridge needs lager. see tomo
169,0,yes :)it completely form:)clark also utter waste.
170,0,"sir, need axis bank account bank address."
171,0,"hmmm.. thk sure got time hop ard... ya, go 4 free abt... muz call u discuss liao..."
172,0,time coming later?
173,0,"bloody hell, cant believe forgot surname mr . ill give u clue, spanish begins m..."
174,0,"well, i'm gonna finish bath now. good...fine night."
175,0,let know got money carlos make cal
176,0,u still going mall?
177,0,"turns friends staying whole show back til ~ &lt;#&gt; , feel free go ahead smoke $ &lt;#&gt; worth"
178,0,text her. doesnt reply let know log
179,0,hi! spoke maneesha v. we'd like know satisfied experience. reply toll free yes no.
180,0,lifted hopes offer money. need. especially end month approaches hurts studying. anyways gr8 weekend
181,0,lol no. u trust me.
182,0,ok. gentleman treat dignity respect.
183,0,"will, guys close?"
184,0,going nothing great.by
185,0,hello handsome ! finding job ? lazy ? working towards getting back net mummy ? where's boytoy ? miss ?
186,0,"haha awesome, minut"
187,1,please call customer service representative freephone 0808 145 4742 9am-11pm guaranteed å£1000 cash å£5000 prize!
188,0,got xmas radio times. get
189,0,jus reached home. go bathe first. sis using net tell u finishes k...
190,1,unique enough? find 30th august. www.areyouunique.co.uk
191,0,i'm sorry. i've joined league people dont keep touch. mean great deal me. friend times even great personal cost. great week.|
192,0,hi :)finally completed course:)
193,0,stop itself. however suggest stays someone able give ors every stool.
194,0,doing? hope settled new school year. wishin gr8 day
195,0,gud mrng dear hav nice day
196,0,u got persons stori
197,0,hamster dead? hey tmr meet 1pm orchard mrt?
198,0,hi kate evening? hope see tomorrow bit bloody babyjontet! txt back u can. :) xxx
199,0,"found it, enc &lt;#&gt; , at?"
200,0,sent &lt;#&gt; buck
201,0,hello darlin ive finished college txt u finish u love kate xxx
202,0,account refilled successfully inr &lt;decimal&gt; . keralacircle prepaid account balance rs &lt;decimal&gt; . transaction id kr &lt;#&gt; .
203,0,goodmorning sleeping ga.
204,0,u call alter 11 ok.
205,0,ìï say like dat dun buy ericsson oso cannot oredi lar...
206,0,"entered cabin pa said, '' happy b'day boss !!''. felt special. askd 4 lunch. lunch invited apartment. went there."
207,0,"aight yo, dats straight dogg"
208,0,please give us connection today &lt;decimal&gt; refund bil
209,0,:) shoot big loads get ready!
210,0,"what's bruv, hope great break. rewarding semester."
211,0,home always chat
212,0,k:)k:)good:)study well.
213,0,yup... ì_ noe leh...
214,0,sounds great! home now?
215,0,finally match heading towards draw prediction.
216,0,tired. slept well past nights.
217,0,easy ah?sen got selected means good..
218,0,take exam march 3
219,0,yeah should. think use gt atm register. sure there's anyway help let know. sure ready.
220,0,ok prob. take ur time.
221,0,os called ubandu run without installing hard disk...you use os copy important files system give repair shop..
222,0,"sorry, i'll call lat"
223,0,u say leh... course nothing happen lar. say v romantic jus bit lor. thk e nite scenery nice leh.
224,1,"500 new mobiles 2004, must go! txt: nokia no: 89545 & collect today!from å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
225,0,would really appreciate call me. need someone talk to.
226,1,"u meet ur dream partner soon? ur career 2 flyng start? 2 find free, txt horo followed ur star sign, e. g. horo ari"
227,0,hey company elama po mudyadhu.
228,0,"life strict teacher... bcoz teacher teaches lesson &amp; conducts exam, life first conducts exam &amp; teaches lessons. happy morning. . ."
229,0,dear good morn
230,0,get gandhipuram walk cross cut road. right side &lt;#&gt; street road turn first right.
231,0,dear going rubber plac
232,0,"sorry battery died, yeah i'm"
233,0,yes:)here tv always available work place..
234,1,text & meet someone sexy today. u find date even flirt u. join 4 10p. reply name & age eg sam 25. 18 -msg recd@thirtyeight p
235,0,printed oh. &lt;#&gt; come upstair
236,0,ill little closer like bus stop street
237,0,you?when wil reach here?
238,0,"new theory: argument wins situation, loses person. dont argue ur friends just.. . . . kick &amp; say, i'm always correct.!"
239,1,u 447801259231 secret admirer looking 2 make contact u-find r*reveal thinks ur special-call 09058094597
240,0,tomarrow final hearing laptop case cant.
241,0,pleassssssseeeeee tel v avent done sportsx
242,0,"okay. no, shining on. meant signing, sounds better."
243,0,"although told u dat i'm baig face watches really like e watch u gave cos fr u. thanx 4 everything dat u've done today, i'm touched..."
244,0,u remember old commercial?
245,0,late. said website. dont slipp
246,0,asked call ok
247,0,kallis wont bat 2nd innings.
248,0,didnt work oh. ok goodnight then. i.ll fix ready time wake up. dearly missed good night sleep.
249,1,congratulations ur awarded 500 cd vouchers 125gift guaranteed & free entry 2 100 wkly draw txt music 87066 tncs www.ldew.com1win150ppmx3age16
250,0,ranjith cal drpd deeraj deepak 5min hold
251,0,"wen ur lovable bcums angry wid u, dnt take seriously.. coz angry childish n true way showing deep affection, care n luv!.. kettoda manda... nice day da."
252,0,doing?how you?
253,0,"ups 3days also, shipping company takes 2wks. way usps takes week gets lag may bribe nipost get stuff."
254,0,"i'm back, lemme know readi"
255,0,necessarily expect done get back though i'm headin
256,0,mmm yummy babe ... nice jolt suzi
257,0,lover ? need ...
258,1,tried contact reply offer video handset? 750 anytime networks mins? unlimited text? camcorder? reply call 08000930705
259,0,iû÷m parked next mini!!!! coming today think?
260,0,yup
261,0,anyway i'm going shopping now. cos sis done yet. dun disturb u liao.
262,0,no. luton 0125698789 ring ur around! h*
263,1,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698
264,0,dint come us.
265,0,same. wana plan trip sometm
266,0,"sure yet, still trying get hold"
267,1,ur ringtone service changed! 25 free credits! go club4mobiles.com choose content now! stop? txt club stop 87070. 150p/wk club4 po box1146 mk45 2wt
268,0,evo. download flash. jealous?
269,1,ringtone club: get uk singles chart mobile week choose top quality ringtone! message free charge.
270,0,"come mu, we're sorting narcotics situ"
271,0,"night ended another day, morning come special way. may smile like sunny rays leaves worries blue blue bay."
272,1,hmv bonus special 500 pounds genuine hmv vouchers won. answer 4 easy questions. play now! send hmv 86688 info:www.100percent-real.com
273,0,"usf guess, might well take 1 car"
274,0,objection. bf coming.
275,0,thanx...
276,0,tell rob mack gf theat
277,0,"awesome, i'll see bit"
278,0,sent it. type food like?
279,0,done? handed in? celebrations full swing yet?
280,0,got called tool?
281,0,\wen u miss someon
282,0,ok. asked money far
283,0,okie...
284,0,"yeah think usual guy's still passed last night, get ahold anybody let know i'll throw"
285,0,"k, might come tonight class lets earli"
286,0,ok..
287,0,hi baby im cruisin girl friend r u 2? give call hour home thats alright fone fone love jenny xxx
288,0,"life means lot me, love life, love people life, world calls friends, call world:-).. ge:-).."
289,0,"dear,shall mail tonite.busy street,shall update tonite.things looking ok.varunnathu edukkukayee raksha ollu.but good one real sense."
290,0,hey told name gautham ah?
291,0,haf u found him? feel stupid da v cam working.
292,0,oops. 4 got bit.
293,0,much buzi
294,0,accidentally deleted message. resend please.
295,1,t-mobile customer may claim free camera phone upgrade & pay & go sim card loyalty. call 0845 021 3680.offer ends 28thfeb.t&c's appli
296,0,unless situation go gurl would appropri
297,0,hurt me... tease me... make cry... end life die plz keep one rose grave say stupid miss u.. nice day bslvyl
298,0,cant pick phone right now. pls send messag
299,0,need coffee run tomo?can't believe time week alreadi
300,0,"awesome, remember last time got somebody high first time diesel :v"
301,0,"shit really shocking scary, cant imagine second. def night out. u think somewhere could crash night, save taxi?"
302,0,oh way food fridge! want go meal tonight?
303,0,womdarfull actor
304,1,"sms. ac blind date 4u!: rodds1 21/m aberdeen, united kingdom. check http://img. sms. ac/w/icmb3cktz8r7!-4 blind dates send hid"
305,0,yup... remb... think book...
306,0,jos ask u wana meet up?
307,0,lol yes. friendship hanging thread cause u buy stuff.
308,1,"themob> check newest selection content, games, tones, gossip, babes sport, keep mobile fit funky text wap 82468"
309,0,garage keys? bookshelf
310,0,today accept day..u accept as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemi
311,1,"think ur smart ? win å£200 week weekly quiz, text play 85222 now!t&cs winnersclub po box 84, m26 3uz. 16+. gbp1.50/week"
312,0,says he'll give call friend's got money he's definitely buying end week
313,0,"hi way u 2day, normal way&this real me. ur unique&i hope know u 4 rest mylife. hope u find wot lost."
314,0,made day. great day too.
315,0,k.k:)advance happy pongal.
316,0,"hmmm... guess go 4 kb n power yoga... haha, dunno tahan power yoga anot... thk got lo oso, forgot liao..."
317,0,"really dude, friends i'm afraid :("
318,1,december only! mobile 11mths+? entitled update latest colour camera mobile free! call mobile update co free 08002986906
319,0,"coffee cake, guess..."
320,0,"merry christmas babe, love ya *kisses*"
321,0,hey... dont go watch x men lunch... haha
322,0,cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full & im still waitin 4 1. pete x
323,0,would great. we'll guild. could meet bristol road somewhere - get touch weekend. plans take flight! good week
324,0,problem. doing?
325,0,calls..messages..missed cal
326,0,hi da:)how todays class?
327,0,"i'd say that's good sign but, well, know track record reading women"
328,0,"cool, text park"
329,0,i'm reading text sent you. meant joke. read light
330,0,k.k:)apo k.good movie.
331,0,maybe could get book tomo return immediately ..? something.
332,1,call germany 1 pence per minute! call fixed line via access number 0844 861 85 85. prepayment. direct access!
333,0,chance might evaporated soon violated privacy stealing phone number employer's paperwork. cool all. please contact report supervisor.
334,1,valentines day special! win å£1000 quiz take partner trip lifetime! send go 83600 now. 150p/msg rcvd. custcare:08718720201.
335,0,"ta-daaaaa! home babe, still ?"
336,0,cool. come havent wined dined before?
337,0,sleeping..and surf
338,0,"sorry, i'll call lat"
339,0,u calling right? call hand phone...
340,0,ok that's great thanx lot.
341,0,take post come then! must 1000s texts now! happy reading. one wiv hello caroline end favourite. bless
342,0,u hiding stranger?
343,0,interested like that.
344,0,sister cleared two round birla soft yesterday.
345,0,gudnite....tc...practice go
346,0,dis yijue. jus saw ur mail. case huiming havent sent u num. dis num.
347,0,one small prestige problem now.
348,1,fancy shag? do.interested? sextextuk.com txt xxuk suzy 69876. txts cost 1.50 per msg. tncs website. x
349,0,checking you. really miss seeing jeremiah. great month
350,0,"nah can't help there, i've never iphon"
351,0,car hour half i'm going apeshit
352,0,"today sorry day.! ever angry you, ever misbehaved hurt you? plz plz slap urself bcoz, ur fault, i'm basically good"
353,0,yo guys ever figure much need alcohol? jay trying figure much safely spend we
354,0,&lt;#&gt; ish minutes 5 minutes ago. wtf.
355,0,"thank calling.forgot say happy onam sirji.i fine remembered met insurance person.meet qatar insha allah.rakhesh, ex tata aig joined tissco,tayseer."
356,1,congratulations ur awarded 500 cd vouchers 125gift guaranteed & free entry 2 100 wkly draw txt music 87066 tncs www.ldew.com1win150ppmx3age16
357,1,ur cash-balance currently 500 pounds - maximize ur cash-in send cash 86688 150p/msg. cc: 08708800282 hg/suite342/2lands row/w1j6hl
358,0,"i'm actor. work, work evening sleep late. since i'm unemployed moment, always sleep late. unemployed, every day saturday."
359,0,"hello! got here, st andrews-boy long way! cold. keep post"
360,0,ha ha cool cool chikku chikku:-):-db-)
361,0,oh ok prob..
362,0,check audrey's status right
363,0,busy here. trying finish new year. looking forward finally meeting you...
364,0,"good afternoon sunshine! dawns day ? refreshed happy alive? breathe air smile ? think you, love ... alway"
365,0,well know z take care me. worries.
366,1,"update_now - xmas offer! latest motorola, sonyericsson & nokia & free bluetooth! double mins & 1000 txt orange. call mobileupd8 08000839402 call2optout/f4q="
367,1,discount code rp176781. stop messages reply stop. www.regalportfolio.co.uk. customer services 08717205546
368,0,wat uniform? get?
369,0,"cool, text readi"
370,0,"hello boytoy ... geeee miss already woke up. wish bed me, cuddling me. love ..."
371,0,spoil bed well :)
372,0,i'm going bath msg next &lt;#&gt; min..
373,0,cant keep talking people sure pay agree price. pls tell want really buy much willing pay
374,1,"thanks ringtone order, reference t91. charged gbp 4 per week. unsubscribe anytime calling customer services 09057039994"
375,0,say happen
376,0,could seen me..i did't recognise face.:)
377,0,well there's lot things happening lindsay new years *sighs* bars ptbo blue heron something go
378,0,keep payasam rinu br
379,0,taught ranjith sir called me. sms like that. becaus hes verifying project. prabu told today pa dont mistake me..
380,0,"guess that's worried. must know there's way body repairs itself. i'm quite sure worry. we'll take slow. first tests, guide ovulation relax. nothing said reason worry i.ll keep followin up."
381,0,"yeah sure, give couple minutes track wallet"
382,0,hey leave it. big deal:-) take care.
383,0,hey late ah... meet 945+
384,1,"double mins txts 4 6months free bluetooth orange. available sony, nokia motorola phones. call mobileupd8 08000839402 call2optout/n9dx"
385,0,took mr owl 3 lick
386,0,customer place call you.
387,0,mm time dont like fun
388,1,4mths half price orange line rental & latest camera phones 4 free. phone 11mths ? call mobilesdirect free 08000938767 update now! or2stoptxt
389,0,yup lunch buffet now.. u eat already?
390,0,huh late... fr dinner?
391,0,hey sat going intro pilates only? kickboxing too?
392,0,morning ok.
393,0,yes think so. office lap room think thats last days. didnt shut
394,0,pick bout 7.30ish? time going?
395,0,performance award calculated every two month.not current one month period..
396,0,actually sleeping still might u call back. text gr8. rock sis. send u text wen wake.
397,0,"always putting business there. put pictures ass facebook. one open people i've ever met. would think picture room would hurt you, make feel violated."
398,0,"good evening sir, al salam wahleykkum.sharing happy news.by grace god, got offer tayseer,tissco joined.hope fine.inshah allah,meet sometime.rakhesh,visitor india."
399,0,hmmm...k...but want change field quickly da:-)i wanna get system administrator network administrator..
400,1,"free ringtone text first 87131 poly text get 87131 true tone! help? 0845 2814032 16 1st free, tones 3xå£150pw eå£nd txt stop"
401,0,dear chechi. talk
402,0,hair cream shipped.
403,0,none that's happening til get though
404,0,"yep, great loxahatchee xmas tree burning &lt;#&gt; starts hour"
405,0,"haha get used driving usf man, know lot ston"
406,0,well slightly disastrous class pm fav darlings! hope day ok. coffee wld good can't stay late tomorrow. time + place always?
407,0,hello! good week? fancy drink something later?
408,0,headin towards busetop
409,0,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u lot thats everything missing sent via fullonsms.com
410,0,come room point iron plan weekend
411,0,cos want th
412,0,"okies... i'll go yan jiu too... skip ard oso, go cine den go mrt one, blah blah blah..."
413,0,bring home wendy =d
414,1,100 dating service cal;l 09064012103 box334sk38ch
415,0,whatsup there. dont u want sleep
416,0,alright new go
417,1,free entry å£250 weekly competition text word win 80086 now. 18 t&c www.txttowin.co.uk
418,0,"alright, i'll head minutes, text meet"
419,1,send logo 2 ur lover - 2 names joined heart. txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo! pobox36504w45wq txtno 4 ads 150p
420,0,yes:)from last week i'm taking live call.
421,1,someone contacted dating service entered phone fancy you! find call landline 09111032124 . pobox12n146tf150p
422,0,siva hostel aha:-.
423,1,urgent! mobile number awarded å£2000 prize guaranteed. call 09058094455 land line. claim 3030. valid 12hr
424,0,send ur friends receive something ur voice..... speaking expression? 1.childish 2.naughty 3.sentiment 4.rowdy 5.ful attitude 6.romantic 7.shy 8.attractive 9.funny &lt;#&gt; .irritating &lt;#&gt; .lovable. reply me..
425,0,ok. she'll ok. guess
426,0,aathi..where dear..
427,0,pain urination thing else?
428,0,7 esplanade.. ì_ mind giving lift cos got car today..
429,0,wnt buy bmw car urgently..its vry urgent.but hv shortage &lt;#&gt; lacs.there source arng dis amt. &lt;#&gt; lacs..thats prob
430,0,home watching tv lor.
431,0,usually take fifteen fucking minutes respond yes quest
432,1,congrats! nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16+ close 300603 post bcm4284 ldn wc1n3xx
433,0,booked ticket pongal?
434,0,available now? i'm like right around hillsborough &amp; &lt;#&gt; th
435,0,message sent askin &lt;#&gt; dollars. shoul pay &lt;#&gt; &lt;#&gt; ?
436,0,"ask g iouri, i've told story like ten times alreadi"
437,0,long applebees fucking tak
438,0,"hi hope u get txt~journey hasnt gd,now 50 mins late think."
439,0,to. like love arrange.
440,0,yes..he really great..bhaji told kallis best cricketer sachin world:).very tough get out.
441,0,supposed wake &gt;:(
442,0,oic... saw tot din c me... found group liao...
443,0,"sorry, i'll call lat"
444,0,\hey hey werethe monkeespeople say monkeyaround! howdy gorg
445,0,"sorry, battery died, come i'm getting gram now, where's place?"
446,0,"well done, blimey, exercise, yeah, kinda remember wot is, hmm."
447,0,wont get concentration dear know mind everything :-)
448,0,lol ... made plans new years?
449,0,10 min later k...
450,0,hanks lotsly!
451,0,thanks hope good day today
452,0,k:)k:)what detail want transfer?acc enough?
453,0,ok tell stay out. yeah tough optimistic things improve month.
454,1,"loan purpose å£500 - å£75,000. homeowners + tenants welcome. previously refused? still help. call free 0800 1956669 text back 'help'"
455,0,si si. think ill go make oreo truffles.
456,0,"look amy ure beautiful, intelligent woman like u lot. know u donåõt like like donåõt worry."
457,0,hope that's result consistently intelligent kind. start asking practicum links keep ears open best. ttyl
458,0,"1.20 call cost. guess isnt bad. miss ya, need ya, want ya, love ya"
459,0,going thru different feeling.wavering decisions coping individual.time heal everything believe.
460,0,u go? phone gonna die stay
461,0,great. never better. day gives even reasons thank god
462,1,"upgrdcentre orange customer, may claim free camera phone upgrade loyalty. call 0207 153 9153. offer ends 26th july. t&c's apply. opt-out avail"
463,0,"sorry, i'll call later ok by"
464,0,ok way railway
465,0,great princess! love giving receiving oral. doggy style fave position. you? enjoy making love &lt;#&gt; times per night :)
466,0,put stuff roads keep getting slippery there?
467,0,going ride bike?
468,0,"yup, need. i'll jus wait 4 e rain 2 stop."
469,0,many company. tell language.
470,1,okmail: dear dave final notice collect 4* tenerife holiday #5000 cash award! call 09061743806 landline. tcs sae box326 cw25wx 150ppm
